"id","class","order","family","genus","species","authority","commonNameEnglish","taxonomyType","uniqueIdentifier"
2018227,"Mammalia","Cetartiodactyla","Suidae","Potamochoerus",NA,NA,"Potamochoerus Species","biological","9ab7529a-903c-4d38-8af1-64943b448b60"
2018228,"Mammalia","Chiroptera","Vespertilionidae","Glauconycteris",NA,NA,"Glauconycteris Species","biological","33841833-ff9b-4fc6-87ac-fcc5588cd47f"
2018229,"Mammalia","Didelphimorphia","Didelphidae","Glironia",NA,NA,"Glironia Species","biological","6cd1026d-9fb9-4630-be5f-0394d5f58da0"
2018230,"Mammalia","Rodentia","Gliridae","Glirulus",NA,NA,"Glirulus Species","biological","12e26f6a-17ec-4553-90a2-947dc4a2a77c"
2018232,"Mammalia","Perissodactyla","Rhinocerotidae","Rhinoceros",NA,NA,"Rhinoceros Species","biological","80354f5b-b7f3-424c-a87f-c20c934abe48"
2018233,"Mammalia","Chiroptera","Rhinolophidae","Rhinolophus",NA,NA,"Rhinolophus Species","biological","09c06793-4426-49a9-bcf6-a2fff0e1ab61"
2018234,"Mammalia","Chiroptera","Hipposideridae","Rhinonicteris",NA,NA,"Rhinonicteris Species","biological","075b1e5b-d312-4621-bb51-339702182aae"
2018235,"Mammalia","Chiroptera","Phyllostomidae","Rhinophylla",NA,NA,"Rhinophylla Species","biological","540283b9-1850-4c0d-9a5e-28ad9b6d0d68"
2018236,"Mammalia","Carnivora","Eupleridae","Mungotictis",NA,NA,"Mungotictis Species","biological","715d5134-d36e-414d-886c-b11b673e7480"
2018237,"Mammalia","Cetartiodactyla","Cervidae","Muntiacus",NA,NA,"Muntiacus Species","biological","a04c522f-8ca1-4c09-85b5-a0f29b8466a8"
2018239,"Mammalia","Rodentia","Muridae","Muriculus",NA,NA,"Muriculus Species","biological","dda88a15-093f-4516-82cf-a6d584c6f01d"
2018240,"Mammalia","Chiroptera","Vespertilionidae","Murina",NA,NA,"Murina Species","biological","704eec62-12a6-41c9-b4e6-99efcbd04d33"
2018241,"Mammalia","Rodentia","Muridae","Mus",NA,NA,"Mus Species","biological","c69c386d-fa84-45c0-bd28-f5d1ee19873c"
2018242,"Mammalia","Eulipotyphla","Talpidae","Galemys",NA,NA,"Galemys Species","biological","6f38a996-9a02-4289-9932-5cbe0a7e782f"
2018243,"Mammalia","Rodentia","Cricetidae","Galenomys",NA,NA,"Galenomys Species","biological","0e52686d-4d55-4407-b8c5-035e59dcdb5a"
2018244,"Mammalia","Rodentia","Muridae","Rhabdomys",NA,NA,"Rhabdomys Species","biological","a2a068b1-973f-4e63-8226-ffc675217989"
2018245,"Mammalia","Rodentia","Cricetidae","Rhagomys",NA,NA,"Rhagomys Species","biological","0ce9f5a3-1903-484a-b172-825a04813093"
2018247,"Aves","Struthioniformes","Tinamidae","Taoniscus",NA,NA,"Taoniscus Species","biological","1a1c9e49-b7b4-49f5-8236-f8459a19b86c"
2018248,"Aves","Struthioniformes","Tinamidae","Eudromia",NA,NA,"Eudromia Species","biological","75d07c9a-a2f1-4d90-a5b0-0ea8a744a79a"
2018249,"Aves","Struthioniformes","Tinamidae","Tinamotis",NA,NA,"Tinamotis Species","biological","f1625861-595b-4dbf-b0d0-6a4eaeeea5fc"
2018250,"Aves","Struthioniformes","Casuariidae","Casuarius",NA,NA,"Casuarius Species","biological","8d826aa8-5641-4823-8e60-174a30c7184c"
2018251,"Aves","Struthioniformes","Casuariidae","Dromaius",NA,NA,"Dromaius Species","biological","2fa61dc5-b9c6-433a-bf41-6a4549c07e3a"
2018252,"Aves","Passeriformes","Thraupidae","Chlorornis",NA,NA,"Chlorornis Species","biological","55df2c5b-fac3-48fe-8478-503975a1b59c"
2018253,"Aves","Passeriformes","Thraupidae","Cnemathraupis",NA,NA,"Cnemathraupis Species","biological","9fdc6ca3-58a5-42c9-9daa-fee3494b08ab"
2018255,"Aves","Passeriformes","Thraupidae","Chlorochrysa",NA,NA,"Chlorochrysa Species","biological","7e27c746-20dd-4d2e-aee0-a84abb169531"
2018256,"Aves","Passeriformes","Thraupidae","Wetmorethraupis",NA,NA,"Wetmorethraupis Species","biological","b0a6b199-b5dc-463b-9cc3-3e148d9d5a7c"
2018257,"Aves","Passeriformes","Thraupidae","Bangsia",NA,NA,"Bangsia Species","biological","8cb23287-ad32-459c-a4f7-6933e6c059c5"
2018258,"Aves","Passeriformes","Thraupidae","Lophospingus",NA,NA,"Lophospingus Species","biological","9b5ce923-ed26-4f26-b9f7-3b31547f742f"
2018259,"Aves","Passeriformes","Thraupidae","Neothraupis",NA,NA,"Neothraupis Species","biological","2e5e073e-8c37-4392-a7e9-d3a57022a1f4"
2018260,"Aves","Passeriformes","Thraupidae","Diuca",NA,NA,"Diuca Species","biological","e60db452-8667-4457-8c86-25a464f05eda"
2018262,"Aves","Podicipediformes","Podicipedidae","Poliocephalus",NA,NA,"Poliocephalus Species","biological","9f7179b1-fcc3-46d3-8176-b19c18705fb9"
2018263,"Aves","Podicipediformes","Podicipedidae","Podiceps",NA,NA,"Podiceps Species","biological","6c7c4c6f-b197-4a5a-b894-181abd093ad4"
2018264,"Aves","Podicipediformes","Podicipedidae","Aechmophorus",NA,NA,"Aechmophorus Species","biological","d2f102b1-742f-4575-860b-0c17611c9375"
2018265,"Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus",NA,NA,"Phoenicopterus Species","biological","44a33734-32aa-42b8-8840-908ea2a5d5e5"
2018267,"Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicoparrus",NA,NA,"Phoenicoparrus Species","biological","619f266a-a032-4b82-8780-3124fc0952de"
2018268,"Aves","Phaethontiformes","Phaethontidae","Phaethon",NA,NA,"Phaethon Species","biological","1edbdaff-6229-410e-904a-cf7975453b4b"
