"project_id","deployment_id","placename","longitude","latitude","start_date","end_date","event","array_name","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by"
1,"K10_site-2018-07-15T00:00:00.000Z-2018-09-21T00:00:00.000Z","K10_site",-122.783866,50.895394,"2018-07-15T00:00:00.000Z","2018-09-21T00:00:00.000Z","","","None","","None","",1,"","Camera Functioning","Unknown","","Parallel","",""
1,"H4_site-2018-08-21T00:00:00.000Z-2018-09-23T00:00:00.000Z","H4_site",-122.889363,51.067641,"2018-08-21T00:00:00.000Z","2018-09-23T00:00:00.000Z","","","None","","None","",233,"","Camera Functioning","Unknown","","Parallel","",""
1,"L7_site-2018-06-02T00:00:00.000Z-2018-07-06T00:00:00.000Z","L7_site",-122.73641,50.98292,"2018-06-02T00:00:00.000Z","2018-07-06T00:00:00.000Z","","","None","","None","",121,"","Camera Functioning","Unknown","","Parallel","",""
1,"K9_site-2018-07-15T00:00:00.000Z-2018-07-31T00:00:00.000Z","K9_site",-122.77542,50.9194,"2018-07-15T00:00:00.000Z","2018-07-31T00:00:00.000Z","","","None","","None","",122,"","Camera Functioning","Unknown","","Parallel","",""
1,"L10_site-2018-07-17T00:00:00.000Z-2018-07-31T00:00:00.000Z","L10_site",-122.74538,50.90329,"2018-07-17T00:00:00.000Z","2018-07-31T00:00:00.000Z","","","None","","None","",124,"","Camera Functioning","Unknown","","Parallel","",""
1,"E7_site-2018-06-10T00:00:00.000Z-2018-08-23T00:00:00.000Z","E7_site",-122.980443,50.979091,"2018-06-10T00:00:00.000Z","2018-08-23T00:00:00.000Z","","","None","","None","",232,"","Camera Functioning","Unknown","","Parallel","",""
1,"L10_site-2018-07-31T00:00:00.000Z-2018-09-01T00:00:00.000Z","L10_site",-122.74538,50.90329,"2018-07-31T00:00:00.000Z","2018-09-01T00:00:00.000Z","","","None","","None","",124,"","Camera Functioning","Unknown","","Parallel","",""
1,"K6_site-2018-08-13T00:00:00.000Z-2018-08-20T00:00:00.000Z","K6_site",-122.76101,50.99414,"2018-08-13T00:00:00.000Z","2018-08-20T00:00:00.000Z","","","None","","None","",119,"","Camera Functioning","Unknown","","Parallel","",""
1,"I4_site-2018-06-15T00:00:00.000Z-2018-07-16T00:00:00.000Z","I4_site",-122.841199,51.0591,"2018-06-15T00:00:00.000Z","2018-07-16T00:00:00.000Z","","","None","","None","",10,"","Camera Functioning","Unknown","","Parallel","",""
1,"F7_site-2018-06-13T00:00:00.000Z-2018-08-23T00:00:00.000Z","F7_site",-122.954459,50.995506,"2018-06-13T00:00:00.000Z","2018-08-23T00:00:00.000Z","","","None","","None","",637,"","Camera Functioning","Unknown","","Parallel","",""
