"class","order","family","genus","species","commonNameEnglish","uniqueIdentifier","taxon"
"Aves","Passeriformes","Alaudidae","Eremophila","alpestris","Horned Lark","e8f340d7-e6f9-4c66-bf54-65621e1e83db","Aves-Passeriformes-Alaudidae-Eremophila-alpestris-Horned Lark-e8f340d7-e6f9-4c66-bf54-65621e1e83db"
"Mammalia","Rodentia","Erethizontidae","Erethizon","dorsatum","North American Porcupine","b34b243f-385d-4880-93b9-0c2526d012a7","Mammalia-Rodentia-Erethizontidae-Erethizon-dorsatum-North American Porcupine-b34b243f-385d-4880-93b9-0c2526d012a7"
"Mammalia","Carnivora","Canidae","Vulpes","vulpes","Red Fox","ac0e8ba7-7261-4d17-8645-11ed3d02165a","Mammalia-Carnivora-Canidae-Vulpes-vulpes-Red Fox-ac0e8ba7-7261-4d17-8645-11ed3d02165a"
"Amphibia","Anura","Bufonidae","Anaxyrus","boreas","Western Toad","531f71ac-dd38-4d88-beff-45e782ea7be7","Amphibia-Anura-Bufonidae-Anaxyrus-boreas-Western Toad-531f71ac-dd38-4d88-beff-45e782ea7be7"
"Mammalia","Carnivora","Mustelidae","Mustela","","Mustela Species","7d6dbfa0-522c-4397-a59c-4b8439cad16b","Mammalia-Carnivora-Mustelidae-Mustela--Mustela Species-7d6dbfa0-522c-4397-a59c-4b8439cad16b"
"Aves","Passeriformes","Passerellidae","Melospiza","melodia","Song Sparrow","0f0ac612-8fd4-45fd-9afb-9628f4abb41b","Aves-Passeriformes-Passerellidae-Melospiza-melodia-Song Sparrow-0f0ac612-8fd4-45fd-9afb-9628f4abb41b"
"Aves","Piciformes","Picidae","Leuconotopicus","villosus","Hairy Woodpecker","798797e3-280c-44f0-8ce9-b191288fae78","Aves-Piciformes-Picidae-Leuconotopicus-villosus-Hairy Woodpecker-798797e3-280c-44f0-8ce9-b191288fae78"
"Aves","Passeriformes","Regulidae","Regulus","satrapa","Golden-crowned Kinglet","95ef7346-5611-4a19-9946-9a95366d72c5","Aves-Passeriformes-Regulidae-Regulus-satrapa-Golden-crowned Kinglet-95ef7346-5611-4a19-9946-9a95366d72c5"
"Aves","Passeriformes","Parulidae","Setophaga","ruticilla","American Redstart","ff31e033-1f44-4772-9317-c1236e27a635","Aves-Passeriformes-Parulidae-Setophaga-ruticilla-American Redstart-ff31e033-1f44-4772-9317-c1236e27a635"
"Mammalia","Carnivora","Mustelidae","Martes","","Martes Species","43d7217e-9bc8-42d2-934f-dfdbbbaaf998","Mammalia-Carnivora-Mustelidae-Martes--Martes Species-43d7217e-9bc8-42d2-934f-dfdbbbaaf998"
"","","","","","Blank","f1856211-cfb7-4a5b-9158-c0f72fd09ee6","-----Blank-f1856211-cfb7-4a5b-9158-c0f72fd09ee6"
"Aves","Passeriformes","Tyrannidae","Contopus","sordidulus","Western Wood-pewee","12b2a5ea-b9b9-48a6-8c45-ab32f9ff0468","Aves-Passeriformes-Tyrannidae-Contopus-sordidulus-Western Wood-pewee-12b2a5ea-b9b9-48a6-8c45-ab32f9ff0468"
"Aves","Passeriformes","Icteridae","Molothrus","ater","Brown-headed Cowbird","acda85bc-f4ae-43be-a1cf-77d8526207c4","Aves-Passeriformes-Icteridae-Molothrus-ater-Brown-headed Cowbird-acda85bc-f4ae-43be-a1cf-77d8526207c4"
"Aves","Passeriformes","Paridae","Poecile","gambeli","Mountain Chickadee","afb00c34-9ad0-4a3d-ae36-b828d4159afc","Aves-Passeriformes-Paridae-Poecile-gambeli-Mountain Chickadee-afb00c34-9ad0-4a3d-ae36-b828d4159afc"
"Aves","Passeriformes","Regulidae","Regulus","calendula","Ruby-crowned Kinglet","64b49b97-2398-4643-acba-986aba56b303","Aves-Passeriformes-Regulidae-Regulus-calendula-Ruby-crowned Kinglet-64b49b97-2398-4643-acba-986aba56b303"
"Mammalia","Carnivora","Mephitidae","Mephitis","mephitis","Striped Skunk","9282b7e4-f3b0-4ef3-9741-cae7f7bd346a","Mammalia-Carnivora-Mephitidae-Mephitis-mephitis-Striped Skunk-9282b7e4-f3b0-4ef3-9741-cae7f7bd346a"
"Mammalia","Chiroptera","","","","Bat","a45906ce-5938-433a-bc82-4d0e60d2ebab","Mammalia-Chiroptera----Bat-a45906ce-5938-433a-bc82-4d0e60d2ebab"
