wi_taxon_identifier,Class,Order,Family,Genus,Species,Species.Common.Name
f2d233e3-80e3-433d-9687-e29ecc7a467a,Mammalia, ,,,,
a0d09a27-59c6-4a31-8b67-e0a6ec8c49f9,Mammalia,Carnivora,Canidae,Cerdocyon,thous,Crab-eating Fox
a23759e7-93b3-4db2-90df-4346c7c5ec5c,Aves,Galliformes,Odontophoridae,Odontophorus,erythrops,Rufous-fronted Wood-quail
9c564562-9429-405c-8529-04cff7752282,Mammalia,Carnivora,Felidae,Puma,concolor,Puma
518013b1-6f89-4679-8523-73cb73cb2f1c,Aves,Columbiformes,Columbidae,Geotrygon,montana,Ruddy Quail-dove
c685ddde-02d6-4714-8409-1501d0ef4a8a,Aves,Cuculiformes,Cuculidae,Neomorphus,geoffroyi,Rufous-vented Ground-Cuckoo
becf3932-4ec8-4897-8d41-f9f248648794,Mammalia,Carnivora,Procyonidae,Potos,flavus,Kinkajou
0f76d5eb-2c02-48ba-87e0-28f297e89e94,Mammalia,Cingulata,Chlamyphoridae,Cabassous,centralis,Northern Naked-tailed Armadillo
9b7fea59-cfa3-499c-a420-bcf36277dcd8,Mammalia,Carnivora,Felidae,Panthera,onca,Jaguar
90d950db-2106-4bd9-a4c1-777604c3eada,Mammalia,Rodentia,,,,
cae9534f-f302-4229-9e11-b91138333d92,Aves,Galliformes,Phasianidae,Gallus,gallus domesticus,Domestic Chicken
05afbf7e-f878-4534-b08f-c97a02435474,Mammalia,Carnivora,Felidae,Leopardus,,Tigrillo
aa191c53-bf22-47d7-bad0-6bb76f43f934,Aves,Accipitriformes,Accipitridae,Buteogallus,anthracinus,Common Black-Hawk
a396ddf1-16f5-44f2-bd24-963f8ed14ca6,Aves,Cuculiformes,Cuculidae,,,
df8514b0-10a5-411f-8ed6-0f415e8153a3,Mammalia,Carnivora,Felidae,,,
575008c3-8e3b-4efe-8da6-47631d60d5b7,Mammalia,Cetartiodactyla,Tayassuidae,Tayassu,pecari,White-lipped Peccary
2b98dad0-1e0e-4488-9cbe-9c4777dd9eca,Mammalia,Pilosa,Myrmecophagidae,Myrmecophaga,tridactyla,Giant Anteater
988b8b2d-6d3b-4c5f-899c-c76b6108b90b,Mammalia,Artiodactyla,Tayassuidae,,,
